Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer County,Customer City,Customer Zip Code,Order ID
Coffee,Britvic,Coffee,429,6919,6320,599,12/22/2020,Simran Robinson,Dumfries and Galloway,Dumfries,DG1 5NY,0-8619-89525-226
Black Tea,Coca-Cola GB,Tea,612,3234,2326,908,3/25/2021,James Khan,Buckinghamshire,Aylesbury,HP20 8CB,0-2604-92240-164
Energy Drink,Fever-Tree,Soft Drink,914,11535,12363,-828,1/10/2022,Mia White,Blaenau Gwent,Ebbw Vale,NP23 7BK,1-6565-13626-198
Cola,Britvic,Soft Drink,659,4763,5419,-656,5/6/2023,Florence Brown,Monmouthshire,Monmouth,NP25 4JC,0-3415-78512-881
Lemonade,Fever-Tree,Soft Drink,981,10133,4170,5963,5/26/2022,Simran Thompson,Edinburgh,Edinburgh,EH1 4HN,0-9499-10665-428
Green Tea,Coca-Cola GB,Tea,992,6069,5980,89,3/23/2022,Leila Carter,Devon,Exeter,EX1 4JB,1-8067-37870-720
Coffee,Britvic,Coffee,190,9510,4920,4590,7/30/2023,Alfie Edwards,Worcestershire,Worcester,WR1 9YB,1-7022-62525-23
Lemonade,Fever-Tree,Soft Drink,214,6672,5925,747,1/28/2021,Isabella Watson,Edinburgh,Edinburgh,EH1 9GX,1-4835-37168-707
Energy Drink,Britvic,Soft Drink,816,5219,3339,1880,6/6/2020,Thomas White,South Lanarkshire,Hamilton,ML3 4SL,0-7601-24021-139
Cola,Britvic,Soft Drink,203,10693,8773,1920,11/6/2020,Alice Ali,Pembrokeshire,Haverfordwest,SA61 9BM,0-8797-31856-384
Lemonade,Fever-Tree,Soft Drink,484,10954,12181,-1227,2/25/2023,Ava Phillips,West Lothian,Livingston,EH54 6HB,0-7545-53512-574
Wine,Fever-Tree,Alcoholic,483,11347,9365,1982,11/17/2022,Jack Hussain,Perth and Kinross,Perth,PH1 8PY,0-7160-46289-477
Coffee,Coca-Cola GB,Coffee,580,6477,7322,-845,12/24/2020,Benjamin Lewis,Fife,Glenrothes,KY7 1YJ,1-3152-47941-898
Black Tea,Fever-Tree,Tea,189,8011,4844,3167,1/20/2022,Mia Islam,Gwynedd,Caernarfon,LL55 2AX,1-1410-71349-821
Cola,Coca-Cola GB,Soft Drink,510,8391,3977,4414,1/25/2021,Noah Watson,North Ayrshire,Irvine,KA12 7RP,0-3182-87015-742
Cola,Fever-Tree,Soft Drink,964,11044,7371,3673,8/16/2020,Alfie Smith,Glasgow City,Glasgow,G1 9TC,1-6020-87189-542
Herbal Tea,Coca-Cola GB,Tea,881,9580,7164,2416,8/9/2022,Emily Williams,West Dunbartonshire,Dumbarton,G82 2WL,0-9919-99966-379
Beer,Coca-Cola GB,Alcoholic,56,1443,672,771,7/15/2020,Olivia Ahmed,Tyne and Wear,Newcastle upon Tyne,NE1 9AB,0-7050-23621-211
Wine,Britvic,Alcoholic,951,8911,9762,-851,12/11/2022,Daisy Islam,Merthyr Tydfil,Merthyr Tydfil,CF47 2HC,1-5568-51721-910
Cola,Fever-Tree,Soft Drink,417,7196,3436,3760,10/31/2023,Henry Islam,Merseyside,Liverpool,L1 6NW,0-8412-29510-834
Wine,Fever-Tree,Alcoholic,391,7926,6307,1619,8/16/2023,Ethan Mitchell,Falkirk,Falkirk,FK1 7AG,0-7788-55068-449
Energy Drink,Fever-Tree,Soft Drink,426,4312,4899,-587,1/1/2021,George Sharma,Merthyr Tydfil,Merthyr Tydfil,CF47 7EF,1-4544-20208-586
Beer,Fever-Tree,Alcoholic,787,10145,6576,3569,11/1/2021,Henry Evans,Fife,Glenrothes,KY7 9RC,0-7626-60801-731
Coffee,Fever-Tree,Coffee,981,3652,3972,-320,5/25/2020,Evie Thompson,Cheshire,Chester,CH1 5RE,0-9455-85525-485
Green Tea,Fever-Tree,Tea,284,992,856,136,3/11/2020,Simran Edwards,Worcestershire,Worcester,WR1 1UY,0-2442-93182-35
Wine,Coca-Cola GB,Alcoholic,724,9672,4965,4707,7/14/2021,Samuel Davies,Isle of Wight,Newport,PO30 5WK,1-8697-38063-686
Herbal Tea,Fever-Tree,Tea,807,4130,4158,-28,6/6/2022,Yusuf Khan,Essex,Chelmsford,CM1 1RN,0-2612-59535-339
Lemonade,Coca-Cola GB,Soft Drink,548,5431,3362,2069,6/17/2022,Mia Johnson,Essex,Chelmsford,CM1 5XF,0-3895-97350-286
Energy Drink,Fever-Tree,Soft Drink,889,1486,818,668,5/22/2020,Grace Cooper,South Yorkshire,Sheffield,S1 3AR,0-6594-67417-536
Lemonade,Fever-Tree,Soft Drink,465,10962,11200,-238,2/8/2020,Charlotte Roberts,Scottish Borders,Newtown St Boswells,TD6 1XR,1-2583-53231-927
Wine,Fever-Tree,Alcoholic,413,11471,6764,4707,4/24/2022,Isla Edwards,North Yorkshire,York,YO1 4BN,0-7241-28997-222
Green Tea,Britvic,Tea,600,11895,8117,3778,6/6/2023,Emily Lewis,Leicestershire,Leicester,LE1 4PC,1-6512-39123-888
Lemonade,Britvic,Soft Drink,860,1293,1146,147,9/17/2021,Priya Watson,Fermanagh and Omagh,Enniskillen,BT74 7WV,1-4228-38601-478
Wine,Fever-Tree,Alcoholic,940,10288,5943,4345,8/16/2021,Samuel Roberts,Inverclyde,Greenock,PA15 3HL,0-9080-62322-269
Green Tea,Fever-Tree,Tea,53,3041,3006,35,9/17/2022,Ethan Williams,Renfrewshire,Paisley,PA1 4TF,1-6152-40673-44
Cola,Fever-Tree,Soft Drink,603,1702,1920,-218,5/17/2020,Jack Edwards,Armagh City Banbridge and Craigavon,Armagh,BT61 9JH,1-8614-70051-940
Vodka,Fever-Tree,Alcoholic,482,11299,12480,-1181,5/24/2021,Lucas Roberts,Norfolk,Norwich,NR1 2SM,1-6651-64957-581
Green Tea,Britvic,Tea,574,5843,6826,-983,1/8/2020,Freya White,Essex,Chelmsford,CM1 1LV,0-8184-41179-223
Vodka,Coca-Cola GB,Alcoholic,209,8694,5162,3532,6/29/2021,Leila Carter,Na h-Eileanan Siar,Stornoway,HS1 6SN,0-6876-65514-375
Vodka,Coca-Cola GB,Alcoholic,263,1278,1006,272,12/16/2022,George Harris,Vale of Glamorgan,Barry,CF63 2YP,0-8225-64125-789
Cola,Fever-Tree,Soft Drink,896,4789,3433,1356,4/10/2020,Omar Wright,Pembrokeshire,Haverfordwest,SA61 5VD,1-7508-82869-767
Energy Drink,Britvic,Soft Drink,470,3767,2844,923,4/4/2021,Ava Edwards,Aberdeen City,Aberdeen,AB10 3RM,1-612-80981-782
Cola,Coca-Cola GB,Soft Drink,670,3956,4060,-104,4/7/2022,Samuel Shah,Belfast,Belfast,BT1 1LM,0-6612-39829-233
Black Tea,Britvic,Tea,224,5990,2986,3004,7/11/2022,Lucas Shah,Conwy,Conwy,LL32 9CL,0-9164-66729-859
Cola,Britvic,Soft Drink,852,9924,10288,-364,11/27/2020,Freya Robinson,Newport,Newport,NP20 5SB,1-2215-32713-205
Lemonade,Britvic,Soft Drink,68,4060,3426,634,3/28/2023,William Walker,Falkirk,Falkirk,FK1 3YU,0-9813-89873-243
Green Tea,Coca-Cola GB,Tea,570,8506,6384,2122,1/17/2023,Priya Wright,Derbyshire,Derby,DE1 9AU,1-1797-27601-271
Green Tea,Britvic,Tea,454,8312,8027,285,5/31/2021,Charlotte Davies,West Yorkshire,Leeds,LS1 3FE,1-1436-54527-463
Energy Drink,Fever-Tree,Soft Drink,596,4235,3674,561,9/18/2021,Thomas Begum,Mid Ulster,Cookstown,BT80 7XN,0-1369-87678-157
Beer,Coca-Cola GB,Alcoholic,195,11220,6507,4713,4/16/2023,Alice Hussain,Ceredigion,Aberystwyth,SY23 8GT,0-6390-73463-661
Herbal Tea,Britvic,Tea,932,7382,8031,-649,6/26/2020,Alfie Thomas,Denbighshire,Ruthin,LL15 2NJ,1-5252-28327-254
Coffee,Fever-Tree,Coffee,560,1070,1278,-208,8/19/2021,Isabella Robinson,Bridgend,Bridgend,CF31 4ET,1-3283-78971-264
Black Tea,Britvic,Tea,774,6939,5422,1517,12/23/2022,Olivia Taylor,Cornwall,Truro,TR1 9BE,0-3953-62923-123
Black Tea,Fever-Tree,Tea,250,981,396,585,12/24/2020,Benjamin Khan,Argyll and Bute,Lochgilphead,PA31 2NM,1-2017-77277-980
Energy Drink,Britvic,Soft Drink,546,9427,9838,-411,7/3/2023,Simran Davies,Scottish Borders,Newtown St Boswells,TD6 2PG,1-7097-37490-356
Black Tea,Fever-Tree,Tea,198,8197,9260,-1063,7/8/2022,Edward Khan,Bristol,Bristol,BS1 4MS,0-3911-12780-632
Green Tea,Britvic,Tea,263,7929,7479,450,1/20/2020,Daisy Clarke,Derbyshire,Derby,DE1 8NL,0-7842-24337-47
Lemonade,Fever-Tree,Soft Drink,393,2300,2018,282,12/20/2020,Alice Carter,Oxfordshire,Oxford,OX1 6UD,0-4196-27785-427
Energy Drink,Coca-Cola GB,Soft Drink,517,7471,3883,3588,1/8/2021,Grace Thomas,Armagh City Banbridge and Craigavon,Armagh,BT61 9SG,1-5626-68192-801
Vodka,Britvic,Alcoholic,193,5986,3069,2917,4/13/2020,Emily Edwards,East Ayrshire,Kilmarnock,KA1 7FW,0-5464-85718-739
Vodka,Fever-Tree,Alcoholic,598,11650,13563,-1913,7/21/2023,Lily Roberts,Stirling,Stirling,FK8 7NL,1-2070-83125-922
Green Tea,Britvic,Tea,374,11508,9655,1853,5/31/2023,Poppy Carter,Worcestershire,Worcester,WR1 2UF,0-882-41252-430
Herbal Tea,Coca-Cola GB,Tea,210,6475,6745,-270,10/21/2023,Joseph Lewis,South Ayrshire,Ayr,KA7 7UP,0-8014-73979-116
Coffee,Coca-Cola GB,Coffee,552,10019,7111,2908,9/1/2023,Amelia Edwards,Northumberland,Morpeth,NE61 1GE,1-3847-68283-828
Wine,Fever-Tree,Alcoholic,573,6876,6798,78,8/31/2023,Yusuf Thompson,Cardiff,Cardiff,CF10 5WA,1-5811-21401-450
Green Tea,Fever-Tree,Tea,524,11973,13883,-1910,11/13/2022,Charlie Evans,Highland,Inverness,IV1 5RL,1-4427-70853-52
Vodka,Britvic,Alcoholic,917,8516,4428,4088,5/31/2023,Leila Wilson,Lincolnshire,Lincoln,LN1 4HL,0-8687-39933-760
Coffee,Britvic,Coffee,291,10753,5263,5490,1/13/2022,Ella Thompson,Cambridgeshire,Cambridge,CB1 1FN,0-1503-73699-836
Wine,Fever-Tree,Alcoholic,85,8492,8784,-292,8/22/2020,Fatima Sharma,Somerset,Taunton,TA1 4KW,1-5653-69441-409
Beer,Britvic,Alcoholic,539,1966,2256,-290,1/28/2023,Joseph Thomas,Mid Ulster,Cookstown,BT80 9DP,1-8676-93858-655
Wine,Coca-Cola GB,Alcoholic,661,641,735,-94,7/8/2023,Harry Shah,Shropshire,Shrewsbury,SY1 2CX,0-1854-28590-290
Cola,Fever-Tree,Soft Drink,224,6318,7042,-724,11/9/2022,Grace Singh,Bedfordshire,Bedford,MK40 3DT,1-1649-68090-351
Lemonade,Coca-Cola GB,Soft Drink,965,7352,6508,844,7/30/2021,Yusuf Mitchell,South Yorkshire,Sheffield,S1 7JR,1-2661-79922-226
Vodka,Coca-Cola GB,Alcoholic,788,10262,10808,-546,7/31/2022,Ethan Wright,Dorset,Dorchester,DT1 4ER,1-5478-46517-886
Energy Drink,Fever-Tree,Soft Drink,972,4275,3106,1169,9/6/2021,Edward Lewis,North Ayrshire,Irvine,KA12 9LV,1-2465-70689-937
Wine,Britvic,Alcoholic,977,1480,757,723,3/17/2020,Ella Singh,Nottinghamshire,Nottingham,NG1 2CW,0-6467-69459-380
Vodka,Britvic,Alcoholic,291,9489,9422,67,2/3/2020,Sophie Sharma,Orkney Islands,Kirkwall,KW15 7GE,0-6323-84683-854
Black Tea,Coca-Cola GB,Tea,313,6516,6255,261,11/15/2022,Ella Sharma,Clackmannanshire,Alloa,FK10 6SX,0-3391-37487-640
Lemonade,Britvic,Soft Drink,984,2919,2202,717,9/15/2020,James Ali,Newport,Newport,NP20 3AR,1-7901-71235-999
Wine,Fever-Tree,Alcoholic,309,7346,5705,1641,11/7/2023,Samuel Robinson,West Sussex,Chichester,PO19 8RV,0-1669-60800-132
Herbal Tea,Coca-Cola GB,Tea,180,8470,5514,2956,3/23/2021,Alice Watson,Isle of Wight,Newport,PO30 3XS,0-8275-36170-241
Herbal Tea,Coca-Cola GB,Tea,687,9412,6562,2850,2/23/2021,Lucas Thomas,Edinburgh,Edinburgh,EH1 7YF,0-1759-48721-384
Beer,Coca-Cola GB,Alcoholic,423,10269,4991,5278,5/20/2022,Benjamin Evans,Cheshire,Chester,CH1 8RN,1-5923-43405-600
Green Tea,Britvic,Tea,706,5785,5085,700,1/11/2023,Muhammad Johnson,Mid and East Antrim,Ballymena,BT42 3YU,1-1439-64916-902
Cola,Britvic,Soft Drink,487,11016,8209,2807,9/13/2021,Mia Jones,Cardiff,Cardiff,CF10 1AU,0-8852-89709-881
Cola,Fever-Tree,Soft Drink,272,7041,7293,-252,11/25/2021,Ruby Cooper,East Lothian,Haddington,EH41 3EM,0-842-15100-141
Black Tea,Britvic,Tea,102,1378,822,556,5/2/2023,George Begum,Cumbria,Carlisle,CA1 2KN,1-4372-36772-686
Wine,Coca-Cola GB,Alcoholic,932,11393,5406,5987,7/16/2020,Simran Cooper,Somerset,Taunton,TA1 3NN,1-2102-63845-363
Black Tea,Coca-Cola GB,Tea,416,6735,4973,1762,3/9/2021,Jessica Walker,Cheshire,Chester,CH1 5JR,1-7277-77839-463
Wine,Fever-Tree,Alcoholic,344,8524,4405,4119,9/17/2020,Evie Roberts,North Lanarkshire,Motherwell,ML1 2LY,0-9375-31591-253
Black Tea,Britvic,Tea,268,7918,4136,3782,6/19/2023,Priya Ahmed,Blaenau Gwent,Ebbw Vale,NP23 2NA,0-7533-93160-647
Energy Drink,Coca-Cola GB,Soft Drink,542,10951,12658,-1707,9/16/2023,Samuel Smith,Essex,Chelmsford,CM1 5HJ,1-7120-91167-604
Vodka,Coca-Cola GB,Alcoholic,626,8502,3698,4804,2/12/2021,George Green,Aberdeenshire,Inverurie,AB51 5MY,1-4250-14799-772
Coffee,Britvic,Coffee,508,11686,11945,-259,7/8/2020,Joseph Khan,Vale of Glamorgan,Barry,CF63 1UW,0-3216-54579-946
Black Tea,Britvic,Tea,253,6983,5944,1039,7/15/2020,Edward Patel,Stirling,Stirling,FK8 4WH,1-5947-71785-778
Coffee,Coca-Cola GB,Coffee,702,4768,1942,2826,3/9/2023,Daisy Evans,Glasgow City,Glasgow,G1 6GY,1-2298-76088-480
Green Tea,Fever-Tree,Tea,410,10293,4310,5983,1/10/2023,Florence White,Bridgend,Bridgend,CF31 4VG,1-8378-24475-750
Lemonade,Coca-Cola GB,Soft Drink,167,10788,11729,-941,6/10/2021,Muhammad Wood,Stirling,Stirling,FK8 1VN,0-9672-11581-266
Cola,Britvic,Soft Drink,950,5870,5284,586,4/28/2021,Evie Watson,West Yorkshire,Leeds,LS1 1PW,0-9192-46725-231
Herbal Tea,Britvic,Tea,322,7152,4365,2787,10/7/2020,Lily Wilson,East Ayrshire,Kilmarnock,KA1 6UT,0-1318-52875-161
Beer,Coca-Cola GB,Alcoholic,372,3827,2813,1014,11/12/2020,Benjamin Evans,Oxfordshire,Oxford,OX1 8PX,1-636-58566-223
Black Tea,Coca-Cola GB,Tea,393,1269,1406,-137,1/10/2022,Alice Walker,Berkshire,Reading,RG1 2BF,1-1407-40512-888
Energy Drink,Fever-Tree,Soft Drink,899,11429,9159,2270,11/30/2023,James Thomas,Devon,Exeter,EX1 8NL,0-9294-90739-754
