Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer County,Customer City,Customer Zip Code,Order ID
Wine,Coca-Cola France,Alcoholic,326,4579,4419,160,6/15/2022,Romain Muller,Vendée,La Roche-sur-Yon,85773,0-1834-90028-625
Vodka,Orangina-Schweppes,Alcoholic,371,5467,5247,220,2/22/2023,Lucas Robert,Haute-Corse,Bastia,2B873,0-4862-59259-163
Black Tea,Orangina-Schweppes,Tea,432,8942,9743,-801,9/14/2022,Baptiste Moreau,Nièvre,Nevers,58069,1-3710-98724-719
Energy Drink,Pernod Ricard Soft,Soft Drink,876,1163,768,395,11/28/2023,Marie Morel,Charente,Angoulême,16130,0-6988-97153-963
Energy Drink,Coca-Cola France,Soft Drink,607,1114,1316,-202,12/21/2020,Arthur Faure,Cantal,Aurillac,15325,0-7266-40273-102
Green Tea,Orangina-Schweppes,Tea,128,3776,1728,2048,5/17/2021,Romain Gauthier,Ardèche,Privas,07660,1-1742-79045-141
Black Tea,Pernod Ricard Soft,Tea,494,10623,6460,4163,7/1/2020,Raphaël Richard,Meurthe-et-Moselle,Nancy,54969,0-331-78922-446
Cola,Orangina-Schweppes,Soft Drink,702,4768,5456,-688,4/29/2022,Théo Lefebvre,Pas-de-Calais,Arras,62514,1-3962-60615-84
Vodka,Orangina-Schweppes,Alcoholic,708,7405,6450,955,2/2/2020,Léa Moreau,Lot,Cahors,46053,0-6997-78955-117
Vodka,Coca-Cola France,Alcoholic,185,9905,5265,4640,9/28/2021,Maxime Bonnet,Haute-Garonne,Toulouse,31640,0-556-72910-443
Wine,Coca-Cola France,Alcoholic,307,6939,4413,2526,11/28/2022,Gabriel Dubois,Charente,Angoulême,16597,0-7722-77143-637
Beer,Pernod Ricard Soft,Alcoholic,658,6787,5244,1543,5/7/2020,Inès Muller,Côte-d'Or,Dijon,21430,1-9669-12560-878
Cola,Orangina-Schweppes,Soft Drink,222,2176,982,1194,12/2/2021,Charlotte David,Marne,Châlons-en-Champagne,51217,1-1973-46487-466
Energy Drink,Orangina-Schweppes,Soft Drink,400,6803,7998,-1195,1/13/2023,Julien David,Indre-et-Loire,Tours,37355,1-7372-94500-22
Coffee,Pernod Ricard Soft,Coffee,759,9090,8444,646,5/22/2021,Camille Bonnet,Loire-Atlantique,Nantes,44319,0-1173-49965-118
Coffee,Pernod Ricard Soft,Coffee,977,1480,1775,-295,10/8/2023,Lucie Fournier,Gers,Auch,32041,0-7808-78021-668
Wine,Orangina-Schweppes,Alcoholic,397,10688,4437,6251,3/17/2021,Pierre Morel,Puy-de-Dôme,Clermont-Ferrand,63962,1-1921-47762-244
Vodka,Pernod Ricard Soft,Alcoholic,843,6728,6938,-210,6/19/2023,Lucie Bernard,Indre,Châteauroux,36476,0-1191-60940-677
Lemonade,Pernod Ricard Soft,Soft Drink,194,4678,4273,405,9/10/2021,Léonie Dubois,Savoie,Chambéry,73824,1-4973-69446-75
Coffee,Coca-Cola France,Coffee,660,7063,5492,1571,11/15/2022,Pierre Lefevre,Haute-Savoie,Annecy,74407,0-3817-37508-486
Lemonade,Orangina-Schweppes,Soft Drink,361,6712,6899,-187,8/22/2022,Alice Faure,Bouches-du-Rhône,Marseille,13676,1-1593-94130-558
Wine,Pernod Ricard Soft,Alcoholic,309,7346,6244,1102,3/12/2020,Antoine Petit,Corrèze,Tulle,19518,1-6056-81359-176
Green Tea,Coca-Cola France,Tea,373,1605,1283,322,10/10/2021,Baptiste Vincent,Nièvre,Nevers,58993,1-4405-78248-740
Lemonade,Orangina-Schweppes,Soft Drink,100,6524,7175,-651,3/7/2020,Axel Moreau,Haute-Garonne,Toulouse,31356,0-7293-25386-795
Green Tea,Orangina-Schweppes,Tea,450,10268,7607,2661,4/13/2023,Sarah Moreau,Aveyron,Rodez,12875,1-9351-57925-627
Green Tea,Pernod Ricard Soft,Tea,410,10293,6653,3640,4/11/2022,Maxime Girard,Morbihan,Vannes,56111,1-5464-74788-661
Green Tea,Orangina-Schweppes,Tea,420,5162,4449,713,7/4/2021,Ethan Lefebvre,Pas-de-Calais,Arras,62462,0-1625-62802-528
Beer,Pernod Ricard Soft,Alcoholic,73,658,544,114,10/8/2021,Alice Laurent,Somme,Amiens,80256,0-6627-22972-708
Lemonade,Orangina-Schweppes,Soft Drink,639,9660,7924,1736,6/30/2023,Gabriel Gauthier,Landes,Mont-de-Marsan,40132,1-8614-92818-510
Herbal Tea,Coca-Cola France,Tea,174,11953,4927,7026,10/22/2020,Ethan Lefevre,Indre-et-Loire,Tours,37670,0-1325-71537-801
Energy Drink,Orangina-Schweppes,Soft Drink,56,1443,1386,57,10/30/2021,Noah Roux,Landes,Mont-de-Marsan,40278,0-1323-36569-140
Beer,Coca-Cola France,Alcoholic,434,9202,10268,-1066,6/10/2020,Sarah Durand,Sarthe,Le Mans,72650,1-2150-91922-311
Lemonade,Coca-Cola France,Soft Drink,886,3971,1653,2318,8/19/2022,Océane Martin,Mayenne,Laval,53324,1-9444-61157-331
Coffee,Pernod Ricard Soft,Coffee,103,9019,10491,-1472,5/21/2020,Romain Lefevre,Pyrénées-Orientales,Perpignan,66289,1-5462-21322-567
Lemonade,Orangina-Schweppes,Soft Drink,917,8516,9595,-1079,7/25/2020,Mathis Richard,Oise,Beauvais,60258,1-6056-53815-312
Cola,Coca-Cola France,Soft Drink,629,8852,8518,334,7/8/2021,Jade Moreau,Eure,Évreux,27236,0-3255-51359-123
Coffee,Coca-Cola France,Coffee,612,3234,3376,-142,4/1/2022,Lucie Thomas,Alpes-de-Haute-Provence,Digne-les-Bains,04216,1-3583-95909-512
Green Tea,Orangina-Schweppes,Tea,149,2505,1792,713,11/9/2021,Nathan Richard,Alpes-Maritimes,Nice,06682,0-7952-97194-273
Lemonade,Pernod Ricard Soft,Soft Drink,613,7085,4025,3060,4/2/2023,Charlotte Bonnet,Charente,Angoulême,16329,1-7338-67954-692
Beer,Coca-Cola France,Alcoholic,494,7868,4427,3441,10/18/2020,Raphaël Morel,Tarn,Albi,81172,0-8906-65542-985
Wine,Orangina-Schweppes,Alcoholic,263,5740,3144,2596,10/14/2020,Léonie Simon,Vaucluse,Avignon,84958,0-211-44181-393
Vodka,Coca-Cola France,Alcoholic,113,10738,6630,4108,9/12/2022,Antoine Michel,Tarn,Albi,81407,1-2848-71697-452
Wine,Coca-Cola France,Alcoholic,786,3458,1965,1493,3/24/2022,Tom Petit,Gers,Auch,32065,1-9085-17055-27
Beer,Orangina-Schweppes,Alcoholic,363,3149,3183,-34,12/1/2021,Léa Lambert,Seine-Maritime,Rouen,76311,0-2043-39144-132
Coffee,Coca-Cola France,Coffee,323,8672,6408,2264,12/5/2023,Maxime Morel,Haute-Vienne,Limoges,87061,0-7834-14159-294
Lemonade,Orangina-Schweppes,Soft Drink,59,3020,1863,1157,11/30/2023,Raphaël Petit,Landes,Mont-de-Marsan,40547,1-2454-11690-141
Herbal Tea,Coca-Cola France,Tea,978,1189,1076,113,8/12/2023,Ethan Vincent,Corrèze,Tulle,19034,1-1412-74447-483
Lemonade,Pernod Ricard Soft,Soft Drink,668,10411,9486,925,12/5/2023,Raphaël Faure,Maine-et-Loire,Angers,49831,0-8863-40983-879
Herbal Tea,Orangina-Schweppes,Tea,570,3597,3263,334,6/23/2020,Zoé Lambert,Territoire de Belfort,Belfort,90393,0-6304-82134-390
Black Tea,Orangina-Schweppes,Tea,309,7829,8989,-1160,9/26/2022,Manon Lambert,Hauts-de-Seine,Nanterre,92062,0-7014-85550-324
Cola,Pernod Ricard Soft,Soft Drink,272,7041,8349,-1308,6/21/2020,Louise Bonnet,Moselle,Metz,57176,0-4159-67377-450
Wine,Pernod Ricard Soft,Alcoholic,879,4017,4006,11,9/7/2022,Camille Lambert,Hauts-de-Seine,Nanterre,92618,0-6598-41369-566
Coffee,Pernod Ricard Soft,Coffee,707,2019,1382,637,6/14/2023,Romain Simon,Pas-de-Calais,Arras,62305,1-1855-10675-359
Herbal Tea,Coca-Cola France,Tea,744,2856,3289,-433,3/7/2020,Louise Michel,Meurthe-et-Moselle,Nancy,54403,0-7590-25776-716
Black Tea,Orangina-Schweppes,Tea,250,7812,3327,4485,11/10/2020,Axel Michel,Haut-Rhin,Colmar,68380,1-1359-85225-141
Coffee,Pernod Ricard Soft,Coffee,69,1707,700,1007,10/22/2022,Raphaël David,Dordogne,Périgueux,24414,1-6565-58908-394
Coffee,Orangina-Schweppes,Coffee,263,1278,1102,176,8/29/2020,Zoé Martin,Territoire de Belfort,Belfort,90384,0-5275-63588-371
Energy Drink,Pernod Ricard Soft,Soft Drink,543,3673,4322,-649,5/3/2023,Elisa Bertrand,Seine-Saint-Denis,Bobigny,93092,0-7176-47982-806
Vodka,Coca-Cola France,Alcoholic,162,8054,6515,1539,12/13/2020,Antoine Laurent,Charente-Maritime,La Rochelle,17527,1-1630-40784-689
Green Tea,Pernod Ricard Soft,Tea,564,9976,6842,3134,4/18/2020,Lucie Michel,Vosges,Épinal,88429,1-898-47992-299
Lemonade,Orangina-Schweppes,Soft Drink,313,6516,3476,3040,9/16/2020,Lucie Fontaine,Pyrénées-Orientales,Perpignan,66907,0-580-53910-827
Beer,Pernod Ricard Soft,Alcoholic,342,4899,5590,-691,2/14/2020,Nathan Dubois,Nièvre,Nevers,58944,1-5565-74216-403
Energy Drink,Pernod Ricard Soft,Soft Drink,729,8048,5624,2424,8/5/2020,Noah Robert,Calvados,Caen,14029,0-7640-96447-492
Vodka,Coca-Cola France,Alcoholic,551,1624,1730,-106,8/29/2020,Marie Laurent,Vienne,Poitiers,86494,1-4437-37926-3
Vodka,Orangina-Schweppes,Alcoholic,153,8517,8867,-350,11/26/2023,Manon Girard,Vendée,La Roche-sur-Yon,85893,1-8643-52157-188
Herbal Tea,Pernod Ricard Soft,Tea,476,3238,3595,-357,4/27/2022,Liam Muller,Lozère,Mende,48464,1-6915-22463-321
Green Tea,Orangina-Schweppes,Tea,111,3024,1352,1672,10/28/2021,Léa Martin,Haute-Marne,Chaumont,52730,0-4982-61110-102
Wine,Orangina-Schweppes,Alcoholic,618,1667,1486,181,11/4/2022,Louis Roux,Morbihan,Vannes,56594,0-7468-84928-668
Coffee,Orangina-Schweppes,Coffee,145,5616,2749,2867,11/16/2023,Pierre Morel,Aveyron,Rodez,12036,1-9643-82420-152
Vodka,Orangina-Schweppes,Alcoholic,51,8532,6461,2071,12/3/2023,Emma Petit,Val-d'Oise,Cergy,95219,1-5644-82165-629
Green Tea,Coca-Cola France,Tea,725,5311,3390,1921,8/19/2023,Raphaël Martin,Tarn,Albi,81566,0-2119-15475-6
Energy Drink,Orangina-Schweppes,Soft Drink,618,829,357,472,11/9/2021,Camille Bernard,Haute-Vienne,Limoges,87763,1-4500-58816-21
Energy Drink,Orangina-Schweppes,Soft Drink,855,7381,5905,1476,4/2/2020,Nathan Robert,Seine-et-Marne,Melun,77730,1-7861-78069-468
Energy Drink,Pernod Ricard Soft,Soft Drink,735,2395,2516,-121,1/31/2023,Nathan Roux,Gironde,Bordeaux,33090,1-4235-52372-119
Cola,Orangina-Schweppes,Soft Drink,574,5843,3884,1959,8/24/2021,Inès Rousseau,Eure,Évreux,27633,1-9296-95105-10
Vodka,Pernod Ricard Soft,Alcoholic,135,6413,6962,-549,8/18/2023,Manon Dupont,Savoie,Chambéry,73211,1-6809-77276-21
Herbal Tea,Orangina-Schweppes,Tea,599,11611,10378,1233,10/11/2023,Jade Gauthier,Loiret,Orléans,45629,0-2294-51049-121
Coffee,Coca-Cola France,Coffee,950,5870,4945,925,6/5/2022,Océane David,Val-de-Marne,Créteil,94946,0-9579-32760-749
Beer,Orangina-Schweppes,Alcoholic,181,10096,10344,-248,6/9/2023,Camille Bertrand,Corrèze,Tulle,19583,0-1723-85777-782
Energy Drink,Orangina-Schweppes,Soft Drink,165,1199,1184,15,5/21/2023,Sarah Martin,Gers,Auch,32093,0-9524-86955-974
Energy Drink,Orangina-Schweppes,Soft Drink,385,9706,11418,-1712,5/24/2023,Liam Roux,Cher,Bourges,18555,0-3487-95520-142
Beer,Pernod Ricard Soft,Alcoholic,602,11744,6360,5384,5/8/2023,Romain Bonnet,Yonne,Auxerre,89766,1-8676-93858-655
Energy Drink,Orangina-Schweppes,Soft Drink,578,5148,2453,2695,4/21/2022,Manon Lefevre,Lozère,Mende,48613,0-7528-60321-476
Cola,Orangina-Schweppes,Soft Drink,269,7011,5782,1229,8/30/2021,Mathis Rousseau,Vosges,Épinal,88276,0-1426-91324-902
Lemonade,Pernod Ricard Soft,Soft Drink,253,2499,2900,-401,5/24/2021,Raphaël Roux,Bas-Rhin,Strasbourg,67633,1-8536-64149-677
Beer,Coca-Cola France,Alcoholic,703,8679,4238,4441,5/2/2020,Raphaël Moreau,Meurthe-et-Moselle,Nancy,54642,1-2128-16256-775
Cola,Coca-Cola France,Soft Drink,747,11140,11571,-431,10/25/2022,Marie Moreau,Morbihan,Vannes,56975,1-8629-39984-313
Lemonade,Pernod Ricard Soft,Soft Drink,825,8820,7260,1560,5/24/2020,Jade Thomas,Yvelines,Versailles,78967,0-8611-22729-104
Vodka,Pernod Ricard Soft,Alcoholic,952,852,440,412,11/2/2020,Léonie Vincent,Lozère,Mende,48009,0-7006-75483-138
Beer,Orangina-Schweppes,Alcoholic,532,11638,5370,6268,7/23/2021,Sarah Robert,Cantal,Aurillac,15630,1-4609-43679-15
Wine,Coca-Cola France,Alcoholic,725,2696,1484,1212,7/26/2022,Antoine Thomas,Vosges,Épinal,88400,0-4824-20085-112
Black Tea,Pernod Ricard Soft,Tea,58,2425,1358,1067,2/1/2020,Maxime Gauthier,Marne,Châlons-en-Champagne,51092,1-9260-86406-357
Lemonade,Coca-Cola France,Soft Drink,637,9846,11765,-1919,12/28/2021,Nathan Rousseau,Pas-de-Calais,Arras,62898,1-2576-77552-619
Black Tea,Coca-Cola France,Tea,476,1942,1670,272,9/27/2021,Océane Durand,Corrèze,Tulle,19514,1-4612-36437-8
Energy Drink,Orangina-Schweppes,Soft Drink,284,2966,2256,710,6/4/2022,Ethan Michel,Haute-Loire,Le Puy-en-Velay,43823,1-5294-45785-392
Vodka,Pernod Ricard Soft,Alcoholic,828,6323,3075,3248,1/26/2020,Charlotte Lambert,Paris,Paris,75069,0-9491-26512-653
Wine,Pernod Ricard Soft,Alcoholic,214,6672,4247,2425,7/26/2020,Louise Rousseau,Nord,Lille,59552,0-5617-91006-135
Herbal Tea,Orangina-Schweppes,Tea,339,6546,6258,288,12/6/2022,Gabriel Girard,Savoie,Chambéry,73551,0-1722-96850-840
Vodka,Pernod Ricard Soft,Alcoholic,104,8724,5526,3198,8/2/2023,Pierre Faure,Haut-Rhin,Colmar,68284,0-4530-16752-658
Black Tea,Coca-Cola France,Tea,221,11466,12583,-1117,11/13/2021,Romain Faure,Alpes-Maritimes,Nice,06047,0-8629-96374-764
Wine,Pernod Ricard Soft,Alcoholic,169,5069,3202,1867,11/5/2023,Jade Girard,Pyrénées-Atlantiques,Pau,64088,1-7270-59992-405
Lemonade,Orangina-Schweppes,Soft Drink,930,7693,6734,959,1/12/2020,Liam Bernard,Nièvre,Nevers,58671,1-5423-84600-133
Vodka,Orangina-Schweppes,Alcoholic,279,11515,13019,-1504,6/27/2022,Louise Martin,Hautes-Alpes,Gap,05818,1-8292-30195-195
Vodka,Coca-Cola France,Alcoholic,910,8807,4071,4736,9/29/2023,Océane Girard,Seine-Maritime,Rouen,76148,1-5285-11859-155
Coffee,Pernod Ricard Soft,Coffee,981,3652,1787,1865,1/13/2022,Jade Dubois,Alpes-Maritimes,Nice,06059,0-9395-20322-88
Coffee,Orangina-Schweppes,Coffee,196,3572,4237,-665,5/5/2023,Hugo Bertrand,Hauts-de-Seine,Nanterre,92138,1-207-49365-228
Vodka,Orangina-Schweppes,Alcoholic,156,6993,5296,1697,6/30/2021,Liam Laurent,Vaucluse,Avignon,84596,0-4385-95679-369
Black Tea,Orangina-Schweppes,Tea,221,4703,4091,612,5/9/2022,Baptiste Leroy,Aisne,Laon,02153,0-9383-87061-597
Herbal Tea,Pernod Ricard Soft,Tea,894,9723,9488,235,7/18/2023,Gabriel Moreau,Charente,Angoulême,16207,1-2184-14206-709
Wine,Orangina-Schweppes,Alcoholic,898,4278,4200,78,2/8/2020,Louise Bonnet,Seine-Saint-Denis,Bobigny,93031,1-9767-37886-929
Cola,Coca-Cola France,Soft Drink,933,1598,810,788,11/10/2021,Léonie Roux,Ille-et-Vilaine,Rennes,35456,1-5104-73828-565
Vodka,Coca-Cola France,Alcoholic,643,11417,10617,800,8/30/2022,Julien Durand,Rhône,Lyon,69568,1-6002-64687-158
Wine,Pernod Ricard Soft,Alcoholic,896,4789,5536,-747,9/30/2023,Théo Rousseau,Val-d'Oise,Cergy,95006,1-2352-92667-237
Herbal Tea,Coca-Cola France,Tea,518,8409,5828,2581,4/22/2023,Léa Roux,Pyrénées-Atlantiques,Pau,64689,0-3063-56507-389
Wine,Orangina-Schweppes,Alcoholic,189,8011,8233,-222,10/16/2022,Chloé Girard,Indre,Châteauroux,36204,1-8671-36433-367
Black Tea,Orangina-Schweppes,Tea,846,781,523,258,7/4/2023,Théo Bernard,Haute-Vienne,Limoges,87364,0-8887-24076-129
Vodka,Orangina-Schweppes,Alcoholic,132,9148,10615,-1467,7/30/2023,Baptiste Lambert,Seine-Maritime,Rouen,76980,0-1515-89257-134
Herbal Tea,Pernod Ricard Soft,Tea,60,6279,5162,1117,8/1/2023,Noah Girard,Vendée,La Roche-sur-Yon,85397,1-9717-24972-357
Energy Drink,Pernod Ricard Soft,Soft Drink,85,8492,5705,2787,11/5/2022,Lucie Muller,Indre,Châteauroux,36002,1-4991-86931-594
Beer,Coca-Cola France,Alcoholic,871,8958,7950,1008,6/6/2022,Pierre Muller,Meurthe-et-Moselle,Nancy,54976,1-424-59993-438
Herbal Tea,Coca-Cola France,Tea,299,1487,1421,66,8/15/2022,Charlotte Lambert,Dordogne,Périgueux,24339,1-5009-64879-337
Herbal Tea,Pernod Ricard Soft,Tea,372,3827,4335,-508,1/6/2021,Océane Leroy,Gironde,Bordeaux,33650,1-1594-71605-357
Black Tea,Orangina-Schweppes,Tea,972,4275,4029,246,6/16/2022,Nathan Robert,Haut-Rhin,Colmar,68068,0-6101-57467-393
Black Tea,Coca-Cola France,Tea,558,3285,2447,838,6/10/2022,Elisa Vincent,Drôme,Valence,26350,0-2935-96849-686
Coffee,Pernod Ricard Soft,Coffee,429,8413,7053,1360,11/22/2021,Mathis Dupont,Corrèze,Tulle,19484,1-6512-61257-74
Lemonade,Coca-Cola France,Soft Drink,291,7677,3396,4281,8/18/2020,Pierre Dupont,Drôme,Valence,26864,1-8251-33111-164
Beer,Orangina-Schweppes,Alcoholic,893,6434,5929,505,8/14/2022,Alice Leroy,Territoire de Belfort,Belfort,90524,1-3263-42780-178
Herbal Tea,Orangina-Schweppes,Tea,959,8438,5507,2931,8/30/2021,Manon David,Haut-Rhin,Colmar,68696,1-2515-88835-291
Black Tea,Coca-Cola France,Tea,425,6274,6981,-707,4/14/2023,Inès Fournier,Hérault,Montpellier,34994,0-8718-84814-185
Cola,Pernod Ricard Soft,Soft Drink,868,2997,1791,1206,7/13/2023,Lucie Lefevre,Cher,Bourges,18129,1-3528-20670-804
Herbal Tea,Coca-Cola France,Tea,798,11093,8111,2982,12/21/2021,Gabriel Muller,Puy-de-Dôme,Clermont-Ferrand,63555,1-8671-54017-117
Energy Drink,Coca-Cola France,Soft Drink,932,7382,4015,3367,10/4/2020,Ethan Michel,Haute-Vienne,Limoges,87912,1-7448-59479-385
Cola,Coca-Cola France,Soft Drink,846,6389,4180,2209,5/29/2022,Camille Gauthier,Lozère,Mende,48047,0-8873-48559-809
Cola,Pernod Ricard Soft,Soft Drink,996,3051,1633,1418,1/24/2023,Alice Richard,Val-de-Marne,Créteil,94938,0-8684-14433-860
Black Tea,Orangina-Schweppes,Tea,774,6939,5974,965,5/12/2021,Léonie Vincent,Haute-Corse,Bastia,2B416,0-1645-22704-675
Energy Drink,Coca-Cola France,Soft Drink,490,1374,558,816,3/15/2022,Sarah Laurent,Morbihan,Vannes,56092,0-4972-37575-881
Lemonade,Coca-Cola France,Soft Drink,816,5219,5125,94,4/5/2022,Raphaël Bernard,Seine-Maritime,Rouen,76410,0-9443-83638-200
Herbal Tea,Coca-Cola France,Tea,861,11753,11587,166,12/8/2022,Jade Rousseau,Haute-Loire,Le Puy-en-Velay,43335,0-1709-77652-693
Black Tea,Orangina-Schweppes,Tea,622,10628,8505,2123,12/15/2020,Clémence Durand,Ille-et-Vilaine,Rennes,35675,0-1170-87091-132
Lemonade,Orangina-Schweppes,Soft Drink,897,3322,2163,1159,7/20/2022,Axel Girard,Mayenne,Laval,53827,1-5692-34535-217
Wine,Coca-Cola France,Alcoholic,680,8652,8186,466,9/17/2023,Eva Robert,Vosges,Épinal,88669,1-2043-33392-551
Lemonade,Coca-Cola France,Soft Drink,395,5677,6779,-1102,8/27/2021,Hugo Muller,Loir-et-Cher,Blois,41674,1-4597-11061-580
Beer,Orangina-Schweppes,Alcoholic,604,1219,745,474,9/30/2020,Ethan Faure,Territoire de Belfort,Belfort,90626,1-5418-17505-641
Green Tea,Coca-Cola France,Tea,955,7594,6532,1062,6/22/2020,Marie Morel,Aube,Troyes,10951,1-275-65572-694
Vodka,Orangina-Schweppes,Alcoholic,765,7516,3227,4289,10/17/2020,Jade Lefevre,Alpes-Maritimes,Nice,06852,0-2298-88924-566
Lemonade,Pernod Ricard Soft,Soft Drink,532,10276,9134,1142,11/17/2023,Charlotte Fournier,Corrèze,Tulle,19806,0-7560-85886-369
Black Tea,Orangina-Schweppes,Tea,160,6871,6035,836,10/9/2023,Noah Dubois,Territoire de Belfort,Belfort,90309,0-8640-38972-424
Cola,Coca-Cola France,Soft Drink,936,3842,4019,-177,5/27/2022,Emma Martin,Sarthe,Le Mans,72320,0-3729-93995-447
Coffee,Pernod Ricard Soft,Coffee,520,7293,7116,177,4/29/2023,Camille David,Dordogne,Périgueux,24398,0-8956-94332-316
Energy Drink,Coca-Cola France,Soft Drink,110,2328,1481,847,3/21/2020,Clémence David,Territoire de Belfort,Belfort,90932,0-7975-53332-241
Energy Drink,Pernod Ricard Soft,Soft Drink,109,11951,14221,-2270,11/13/2022,Lucie Robert,Seine-et-Marne,Melun,77786,1-1870-26015-257
Wine,Coca-Cola France,Alcoholic,522,8620,8835,-215,8/27/2023,Nathan Rousseau,Creuse,Guéret,23031,0-3366-12671-637
Wine,Coca-Cola France,Alcoholic,444,1083,447,636,12/6/2022,Louise Dupont,Cantal,Aurillac,15429,0-1677-33255-488
Vodka,Pernod Ricard Soft,Alcoholic,91,8360,5494,2866,9/1/2022,Louise Robert,Moselle,Metz,57980,0-7481-23566-831
Green Tea,Pernod Ricard Soft,Tea,564,4807,2767,2040,11/17/2023,Julien Moreau,Loir-et-Cher,Blois,41280,1-3364-22054-357
Wine,Orangina-Schweppes,Alcoholic,445,7766,6019,1747,7/17/2023,Jade Vincent,Morbihan,Vannes,56281,0-5866-76497-76
Green Tea,Orangina-Schweppes,Tea,422,6512,2741,3771,6/7/2023,Pauline Moreau,Cantal,Aurillac,15620,0-9870-40432-237
Vodka,Pernod Ricard Soft,Alcoholic,957,8060,7227,833,10/20/2023,Julien Bonnet,Loir-et-Cher,Blois,41099,0-5161-67779-35
Herbal Tea,Coca-Cola France,Tea,647,7066,3311,3755,8/18/2022,Julien Lefevre,Tarn-et-Garonne,Montauban,82331,1-3576-60265-726
Vodka,Orangina-Schweppes,Alcoholic,695,6466,5169,1297,9/2/2023,Liam Moreau,Val-de-Marne,Créteil,94781,1-8137-70401-173
Energy Drink,Orangina-Schweppes,Soft Drink,494,895,733,162,3/21/2022,Jade Fontaine,Meurthe-et-Moselle,Nancy,54347,0-5556-32037-79
Wine,Pernod Ricard Soft,Alcoholic,687,11400,7369,4031,4/2/2022,Pauline Muller,Haute-Saône,Vesoul,70225,1-5955-22121-335
Herbal Tea,Orangina-Schweppes,Tea,812,1636,1277,359,11/16/2020,Louise Bernard,Savoie,Chambéry,73400,1-8205-87469-995
Vodka,Pernod Ricard Soft,Alcoholic,590,3742,3493,249,12/25/2021,Clémence Faure,Bouches-du-Rhône,Marseille,13895,1-2632-41029-886
Wine,Pernod Ricard Soft,Alcoholic,431,2327,2139,188,4/3/2023,Inès Rousseau,Rhône,Lyon,69762,0-5350-56230-920
Wine,Coca-Cola France,Alcoholic,296,10286,6318,3968,8/20/2023,Ethan Faure,Haute-Saône,Vesoul,70484,0-8206-91618-962
Vodka,Pernod Ricard Soft,Alcoholic,556,7601,8130,-529,3/1/2023,Théo Robert,Gironde,Bordeaux,33770,0-1504-97574-353
Herbal Tea,Orangina-Schweppes,Tea,135,4006,4516,-510,9/10/2021,Ethan Petit,Loire-Atlantique,Nantes,44143,0-709-49893-505
