Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer County,Customer City,Customer Zip Code,Order ID
Acacia Ridge Wine,Crown Beverages,Alcoholic,351,3724,2359,1365,2022-11-24,Hannah Simiyu,Meru,Naivasha,27112,KE-149-40869-48
Tusker Lager,Kericho Gold,Alcoholic,691,9336,3233,6103,2021-06-09,Abdi Barasa,Laikipia,Njoro,73790,KE-007-40812-76
Tusker Lager,Kericho Gold,Alcoholic,517,2235,2545,-310,2022-05-05,Moses Kamau,Homa Bay,Umoja,51446,KE-042-29857-40
Minute Maid Citrus,Coca-Cola Kenya,Soft Drink,658,5411,1161,4250,2022-03-24,Odhiambo Nyakundi,Nairobi City,Bamburi,79545,KE-013-10230-47
Kericho Gold Herbal Tea,Crown Beverages,Tea,234,6508,6474,34,2021-03-28,Violet Adhiambo,Kericho,Eastleigh,14627,KE-196-61802-68
Kericho Gold Green Tea,Kericho Gold,Tea,144,4060,2398,1662,2021-07-22,Faith Gitonga,Nyeri,Embakasi,22722,KE-046-04727-04
Tusker Lager,Coca-Cola Kenya,Alcoholic,279,1132,563,569,2021-02-03,Gerald Owino,Lamu,Westlands,18566,KE-132-23330-92
Kericho Gold Green Tea,Coca-Cola Kenya,Tea,434,9864,3455,6409,2022-04-15,Irene Kimani,Bungoma,Milimani,21239,KE-128-10288-51
Tusker Lager,Crown Beverages,Alcoholic,871,2724,1045,1679,2023-02-19,Joyce Mburu,Lamu,Karen,12813,KE-169-69864-6
Acacia Ridge Wine,Kericho Gold,Alcoholic,165,4290,3799,491,2022-12-20,Pendo Okoth,Kericho,Dandora,11136,KE-105-36180-69
Burn Energy,Coca-Cola Kenya,Soft Drink,937,5957,2136,3821,2021-03-09,Irene Mwenda,Kilifi,Buruburu,16914,KE-080-92324-56
Burn Energy,Crown Beverages,Soft Drink,124,3129,4919,-1790,2022-10-21,Pendo Abdille,Meru,Bahati,53451,KE-142-98502-13
Kericho Gold Herbal Tea,Kericho Gold,Tea,231,1676,6034,-4358,2020-07-02,Edwin Wafula,Kilifi,Changamwe,21789,KE-045-83132-97
Stoney Tangawizi,Crown Beverages,Soft Drink,146,5483,5354,129,2023-02-13,Abdi Akoth,Migori,Zimmerman,51064,KE-024-39133-62
Minute Maid Citrus,Crown Beverages,Soft Drink,147,3130,2749,381,2020-10-22,George Mugendi,Kisii,Zimmerman,56752,KE-197-99641-65
Tusker Lager,Kericho Gold,Alcoholic,846,3104,1594,1510,2021-07-29,Zawadi Mutua,Nairobi City,Tena,36608,KE-145-92148-03
Dormans Coffee,Crown Beverages,Coffee,315,8884,2069,6815,2021-03-22,Chege Owino,Kiambu,South C,29739,KE-170-20383-6
Dormans Coffee,Kericho Gold,Coffee,566,2221,7529,-5308,2022-09-13,Brian Wafula,Lamu,Kiambu,37919,KE-140-23863-46
Kericho Gold Herbal Tea,Coca-Cola Kenya,Tea,329,1619,4581,-2962,2021-01-04,Chege Gacheru,Kilifi,Kitengela,50312,KE-028-96575-39
Kericho Gold Green Tea,Crown Beverages,Tea,367,6592,7478,-886,2020-09-16,Amina Maina,Machakos,Kilimani,18653,KE-133-81818-31
Dormans Coffee,Kericho Gold,Coffee,426,8283,5180,3103,2022-09-23,Yasmin Achieng,Kisii,Tena,57571,KE-050-33988-96
Kericho Gold Black Tea,Crown Beverages,Tea,1000,2551,4498,-1947,2022-01-25,Yusuf Nyakundi,Uasin Gishu,Dandora,51353,KE-013-30934-41
Tusker Lager,Coca-Cola Kenya,Alcoholic,307,3271,7297,-4026,2023-02-19,Moses Otieno,Nyeri,Likoni,68538,KE-024-15817-7
Burn Energy,Crown Beverages,Soft Drink,243,6729,2992,3737,2020-04-24,Fatuma Odhiambo,Machakos,Changamwe,72270,KE-146-52577-3
Kericho Gold Green Tea,Crown Beverages,Tea,368,2497,2357,140,2021-12-25,David Ndegwa,Nakuru,Tena,54383,KE-080-15441-9
Dormans Coffee,Crown Beverages,Coffee,386,4250,2611,1639,2021-12-12,Lilian Mutua,Kisumu,Kilimani,32966,KE-040-97926-16
Dormans Coffee,Crown Beverages,Coffee,779,6777,3194,3583,2020-07-29,Omar Macharia,Garissa,Marurui,47976,KE-083-26233-26
Stoney Tangawizi,Coca-Cola Kenya,Soft Drink,391,3109,7183,-4074,2022-06-13,Zawadi Kariuki,Nakuru,Langata,49746,KE-095-45331-27
Kericho Gold Green Tea,Kericho Gold,Tea,434,6022,881,5141,2021-03-03,Lilian Gitonga,Trans-Nzoia,Langata South,23303,KE-141-24012-59
Acacia Ridge Wine,Coca-Cola Kenya,Alcoholic,945,2082,2786,-704,2020-09-09,Joyce Abdille,Trans-Nzoia,Eastleigh,30946,KE-063-39972-18
Acacia Ridge Wine,Kericho Gold,Alcoholic,513,3740,2642,1098,2020-03-03,Juma Muriuki,Homa Bay,Lolwe,29925,KE-051-30095-90
Minute Maid Citrus,Coca-Cola Kenya,Soft Drink,133,2066,4850,-2784,2023-04-21,Hilda Nyambura,Kisii,Ruaka,31398,KE-081-13546-44
Minute Maid Citrus,Coca-Cola Kenya,Soft Drink,129,5840,2713,3127,2021-12-01,Omar Rotich,Mombasa,Manyatta,64419,KE-070-40620-70
Tusker Lager,Coca-Cola Kenya,Alcoholic,154,7924,4720,3204,2022-08-30,Hilda Achieng,Taita/Taveta,Nyali,25524,KE-122-41319-16
Kericho Gold Black Tea,Kericho Gold,Tea,984,6774,7826,-1052,2022-08-17,Grace Barasa,Kilifi,Ngong,79770,KE-076-50569-09
Stoney Tangawizi,Kericho Gold,Soft Drink,493,6791,2222,4569,2021-01-28,Josephine Nyakundi,Kericho,Mlolongo,63697,KE-175-65159-3
Kericho Gold Herbal Tea,Coca-Cola Kenya,Tea,769,7295,1079,6216,2020-06-01,Baraka Barasa,Nakuru,Kayole,30746,KE-034-51632-06
Kericho Gold Green Tea,Coca-Cola Kenya,Tea,971,9822,3277,6545,2023-01-15,Tina Muriuki,Garissa,Manyatta,71547,KE-063-25401-09
Kenya Cane,Kericho Gold,Alcoholic,789,1813,4560,-2747,2021-08-02,Hilda Ndegwa,Kisumu,Ruaka,46861,KE-026-86999-17
Kenya Cane,Kericho Gold,Alcoholic,784,6037,6886,-849,2021-02-16,Imani Otieno,Kericho,Parklands,42688,KE-082-25075-87
Kericho Gold Green Tea,Crown Beverages,Tea,614,5497,7446,-1949,2020-02-07,Patricia Achieng,Kakamega,Kitengela,24858,KE-175-60703-26
Acacia Ridge Wine,Coca-Cola Kenya,Alcoholic,702,9307,7952,1355,2022-02-26,Usman Otieno,Bungoma,Athi River,29221,KE-156-45133-78
Kericho Gold Black Tea,Kericho Gold,Tea,322,6088,1428,4660,2021-04-10,Akinyi Gacheru,Homa Bay,Lolwe,68314,KE-181-89970-53
Kericho Gold Black Tea,Coca-Cola Kenya,Tea,386,8954,4345,4609,2022-03-21,Usman Ndegwa,Trans-Nzoia,Kayole,22723,KE-150-38515-83
Kericho Gold Black Tea,Kericho Gold,Tea,129,7545,5125,2420,2020-09-04,Grace Kinyua,Migori,Manyatta,15161,KE-136-74729-2
Kericho Gold Black Tea,Coca-Cola Kenya,Tea,438,4131,6023,-1892,2021-04-26,Akinyi Bosire,Nyeri,Likoni,27773,KE-048-82571-4
Tusker Lager,Kericho Gold,Alcoholic,979,5417,3853,1564,2020-12-22,Hassan Okoth,Lamu,Dandora,59931,KE-189-48023-65
Kericho Gold Black Tea,Crown Beverages,Tea,120,2007,1552,455,2020-05-23,Wanjiku Bosire,Kisumu,Githurai 44,71972,KE-107-70153-48
Kericho Gold Green Tea,Crown Beverages,Tea,299,2200,6299,-4099,2021-12-14,Omar Ogola,Mombasa,Dandora,59724,KE-185-27867-28
Acacia Ridge Wine,Kericho Gold,Alcoholic,922,7431,5346,2085,2020-10-20,Violet Omar,Siaya,Thika,72505,KE-033-83493-83
Dormans Coffee,Kericho Gold,Coffee,179,8551,2461,6090,2020-10-28,Timothy Muigai,Meru,Githurai,32342,KE-048-91699-53
Kenya Cane,Kericho Gold,Alcoholic,710,6769,7179,-410,2021-12-31,Amina Owino,Kakamega,Kisauni,12615,KE-030-05446-93
Dormans Coffee,Coca-Cola Kenya,Coffee,842,9480,3203,6277,2021-03-15,Farouk Muigai,Kisumu,Mwembe Tayari,57498,KE-136-04762-02
Burn Energy,Crown Beverages,Soft Drink,310,7897,5676,2221,2022-10-25,Patricia Adhiambo,Meru,Tena,67794,KE-035-21212-03
Kericho Gold Black Tea,Coca-Cola Kenya,Tea,931,9699,1424,8275,2023-06-30,George Anyango,Nakuru,Lanet,33833,KE-180-51202-04
Dormans Coffee,Crown Beverages,Coffee,346,4833,7053,-2220,2023-04-14,Kevin Omondi,Garissa,Marurui,68632,KE-057-65358-69
Dormans Coffee,Kericho Gold,Coffee,557,5692,4048,1644,2020-03-28,Beatrice Barasa,Kisii,Tena,12602,KE-041-40218-35
Tusker Lager,Kericho Gold,Alcoholic,635,3434,866,2568,2023-02-26,Hilda Onyango,Kilifi,Kisauni,74456,KE-135-87986-05
Kericho Gold Herbal Tea,Coca-Cola Kenya,Tea,983,8032,3096,4936,2020-05-13,George Hassan,Bungoma,Ruaraka,55066,KE-087-77234-19
Minute Maid Citrus,Crown Beverages,Soft Drink,110,1684,6840,-5156,2021-09-12,Violet Ali,Trans-Nzoia,Eastleigh,54535,KE-146-14480-26
Kericho Gold Green Tea,Kericho Gold,Tea,159,4639,4404,235,2022-10-10,Odhiambo Otieno,Kiambu,Kiambu,21142,KE-175-80194-25
Dormans Coffee,Kericho Gold,Coffee,709,1217,4119,-2902,2022-01-22,Seline Nyakundi,Trans-Nzoia,Kondele,58492,KE-052-27487-67
Tusker Lager,Kericho Gold,Alcoholic,635,9605,6466,3139,2023-07-26,Zawadi Hassan,Trans-Nzoia,Embakasi,19029,KE-026-63588-7
Burn Energy,Kericho Gold,Soft Drink,467,2074,2387,-313,2020-02-01,Chebet Namakhwa,Nyeri,Kasarani,33230,KE-090-65390-48
Stoney Tangawizi,Crown Beverages,Soft Drink,144,7832,1824,6008,2023-01-12,Hilda Otieno,Siaya,Utawala,27687,KE-168-19822-18
Kericho Gold Green Tea,Crown Beverages,Tea,431,6626,7793,-1167,2023-05-23,William Mutua,Kisii,Mamboleo,49335,KE-155-53772-70
Acacia Ridge Wine,Coca-Cola Kenya,Alcoholic,210,2315,2465,-150,2023-01-19,Pendo Njoroge,Lamu,Jomvu,61592,KE-064-40189-25
Acacia Ridge Wine,Kericho Gold,Alcoholic,115,5751,1381,4370,2021-01-26,Hassan Macharia,Siaya,Rongai,29593,KE-029-02313-45
Kericho Gold Green Tea,Crown Beverages,Tea,581,2419,3880,-1461,2021-07-13,Njeri Muriuki,Bungoma,Mwembe Tayari,24545,KE-124-12005-13
Kericho Gold Green Tea,Crown Beverages,Tea,949,1936,4353,-2417,2022-02-04,Seline Adhiambo,Kisumu,Bahati,35838,KE-101-53951-8
Dormans Coffee,Coca-Cola Kenya,Coffee,141,2985,1008,1977,2020-02-22,Omar Mwenda,Homa Bay,Lolwe,52034,KE-066-92768-71
Burn Energy,Crown Beverages,Soft Drink,753,1570,6854,-5284,2022-02-05,Rose Achieng,Bungoma,Naivasha,48318,KE-034-54400-72
Minute Maid Citrus,Coca-Cola Kenya,Soft Drink,351,7249,4564,2685,2020-09-27,Chege Rotich,Kiambu,Bamburi,20888,KE-149-47057-37
Minute Maid Citrus,Crown Beverages,Soft Drink,835,1491,4183,-2692,2022-05-17,Quentin Otieno,Kericho,South C,56492,KE-118-77571-1
Kericho Gold Black Tea,Kericho Gold,Tea,992,9502,4972,4530,2021-02-21,Tina Farah,Taita/Taveta,Eastleigh,74847,KE-197-96596-21
Kericho Gold Green Tea,Kericho Gold,Tea,620,6656,3189,3467,2022-08-14,Grace Kirimi,Meru,Lanet,12091,KE-104-96337-41
Kenya Cane,Kericho Gold,Alcoholic,557,8066,2813,5253,2020-12-23,Nancy Kimani,Kiambu,Ruaka,64753,KE-028-72184-81
Kericho Gold Herbal Tea,Kericho Gold,Tea,566,5231,5697,-466,2022-09-28,Esther Kipchoge,Kilifi,Githurai 44,32159,KE-107-76424-07
Dormans Coffee,Kericho Gold,Coffee,804,6891,7284,-393,2023-06-07,Esther Kipchoge,Garissa,Lanet,57869,KE-063-91371-56
Kenya Cane,Crown Beverages,Alcoholic,851,7613,6839,774,2020-02-02,Gerald Macharia,Kisii,Tena,43123,KE-182-30811-77
Kericho Gold Green Tea,Kericho Gold,Tea,502,6365,7156,-791,2021-08-11,David Wafula,Bungoma,Mamboleo,35168,KE-080-37673-90
Stoney Tangawizi,Kericho Gold,Soft Drink,996,9984,7620,2364,2020-06-25,Imani Namburu,Lamu,Buruburu,77295,KE-094-49015-57
Kericho Gold Black Tea,Crown Beverages,Tea,496,2144,4347,-2203,2020-01-22,George Akoth,Kericho,Ngong,46732,KE-106-39495-80
Tusker Lager,Coca-Cola Kenya,Alcoholic,994,8872,5988,2884,2021-04-03,Joyce Nyambura,Meru,Lanet,78214,KE-186-76902-92
Acacia Ridge Wine,Crown Beverages,Alcoholic,599,5241,4132,1109,2023-07-27,Pendo Okoth,Siaya,Umoja,13072,KE-199-41287-63
Acacia Ridge Wine,Kericho Gold,Alcoholic,598,2281,2588,-307,2022-10-26,Usman Nyakundi,Machakos,Lanet,74174,KE-187-13659-61
Kenya Cane,Coca-Cola Kenya,Alcoholic,281,7574,7548,26,2022-05-01,David Ogola,Mombasa,Ruaka,51755,KE-010-97162-05
Kericho Gold Black Tea,Kericho Gold,Tea,709,6204,6003,201,2021-12-17,Zipporah Kirimi,Meru,Karen,31873,KE-151-85496-32
Kericho Gold Green Tea,Coca-Cola Kenya,Tea,557,7417,5036,2381,2020-12-24,Chebet Odhiambo,Mombasa,Jomvu,16817,KE-011-58203-37
Kericho Gold Green Tea,Kericho Gold,Tea,501,4268,3897,371,2020-11-28,Usman Simiyu,Machakos,Milimani,41300,KE-129-08490-48
Acacia Ridge Wine,Coca-Cola Kenya,Alcoholic,527,4549,7880,-3331,2023-04-09,Yusuf Maina,Garissa,Njoro,50191,KE-045-88466-78
Burn Energy,Crown Beverages,Soft Drink,321,9934,7401,2533,2020-03-13,Chege Anyango,Kisii,Ruaraka,44486,KE-118-41408-63
Kericho Gold Herbal Tea,Kericho Gold,Tea,904,8285,1955,6330,2020-10-31,Irene Muriuki,Kisumu,Syokimau,68842,KE-031-63699-26
Burn Energy,Kericho Gold,Soft Drink,296,3259,5923,-2664,2020-10-01,Esther Adhiambo,Nyeri,Dandora,66747,KE-014-83360-43
Tusker Lager,Kericho Gold,Alcoholic,954,3608,6682,-3074,2022-11-16,Carol Njiru,Migori,Ruaraka,54239,KE-165-74767-4
Acacia Ridge Wine,Crown Beverages,Alcoholic,540,6840,995,5845,2020-09-05,Odhiambo Muigai,Lamu,Kahawa West,15302,KE-184-84013-02
Acacia Ridge Wine,Coca-Cola Kenya,Alcoholic,131,9527,5983,3544,2021-07-02,Gerald Bosire,Machakos,Thika,45761,KE-029-97369-46
Tusker Lager,Crown Beverages,Alcoholic,741,4533,5915,-1382,2022-05-11,Chebet Kinyua,Nyeri,Mwembe Tayari,70042,KE-160-52524-41
Acacia Ridge Wine,Crown Beverages,Alcoholic,626,3550,2691,859,2020-10-29,Chebet Kirimi,Bungoma,Miritini,20517,KE-136-76666-94
Kericho Gold Herbal Tea,Kericho Gold,Tea,321,7085,4818,2267,2022-07-12,David Bosire,Embu,Umoja,53636,KE-170-11379-84
Kericho Gold Green Tea,Crown Beverages,Tea,856,4471,1241,3230,2020-02-27,Gerald Kariuki,Garissa,Dandora,14112,KE-046-63461-82
Kericho Gold Green Tea,Kericho Gold,Tea,501,1973,1687,286,2021-04-27,Omar Simiyu,Bungoma,Miritini,27124,KE-065-56334-72
Tusker Lager,Kericho Gold,Alcoholic,915,6238,1619,4619,2021-04-16,Tina Owino,Kilifi,Ruaka,11399,KE-107-58764-6
Kenya Cane,Coca-Cola Kenya,Alcoholic,734,7236,6861,375,2020-08-05,Zawadi Simiyu,Uasin Gishu,Likoni,12518,KE-015-12592-75
Kericho Gold Black Tea,Coca-Cola Kenya,Tea,186,6420,2452,3968,2023-03-28,Rose Omar,Kisii,Njoro,49676,KE-141-55998-58
Stoney Tangawizi,Crown Beverages,Soft Drink,716,2364,3492,-1128,2020-06-14,Baraka Mugendi,Uasin Gishu,Lanet,59895,KE-075-12635-83
Stoney Tangawizi,Kericho Gold,Soft Drink,546,2071,1576,495,2022-01-08,Samuel Cheruiyot,Meru,Ruaka,36167,KE-111-23315-06
Burn Energy,Kericho Gold,Soft Drink,114,1433,2354,-921,2020-01-11,Akinyi Macharia,Taita/Taveta,Tena,71619,KE-012-45126-15
Tusker Lager,Coca-Cola Kenya,Alcoholic,373,2948,7273,-4325,2022-10-11,Kalinda Owino,Kericho,Naivasha,59809,KE-088-97657-07
Minute Maid Citrus,Coca-Cola Kenya,Soft Drink,188,5960,2500,3460,2023-05-28,Samuel Kamau,Kericho,Kisauni,60907,KE-131-87064-32
Kericho Gold Herbal Tea,Crown Beverages,Tea,269,2706,5442,-2736,2020-04-14,Imani Akoth,Kisii,Thika,14716,KE-071-62266-18
Burn Energy,Coca-Cola Kenya,Soft Drink,519,9973,844,9129,2020-07-27,Omar Odero,Taita/Taveta,Kiambu,45426,KE-122-67362-54
Tusker Lager,Coca-Cola Kenya,Alcoholic,944,4394,7174,-2780,2021-07-24,Zawadi Gitau,Migori,Ruaraka,59170,KE-006-91413-98
Burn Energy,Crown Beverages,Soft Drink,203,2564,6083,-3519,2021-05-28,Wanjiku Nyakundi,Kilifi,Kisauni,53992,KE-198-01648-00
Kericho Gold Herbal Tea,Kericho Gold,Tea,158,3640,5631,-1991,2023-07-03,Baraka Kipchoge,Migori,Utawala,58076,KE-026-49929-11
Kenya Cane,Coca-Cola Kenya,Alcoholic,171,8154,6636,1518,2020-03-27,Chege Kamau,Garissa,Mlolongo,77185,KE-073-28347-24
Kericho Gold Black Tea,Coca-Cola Kenya,Tea,435,1270,5793,-4523,2023-03-10,Esther Gitau,Trans-Nzoia,Miritini,65641,KE-131-65200-72
Tusker Lager,Kericho Gold,Alcoholic,316,6739,4069,2670,2021-06-13,Nancy Mutua,Meru,Lanet,63371,KE-106-90958-93
Kericho Gold Green Tea,Crown Beverages,Tea,515,9991,6734,3257,2022-11-20,Njeri Hassan,Uasin Gishu,Likoni,54843,KE-114-95307-31
Burn Energy,Kericho Gold,Soft Drink,643,7726,3798,3928,2023-01-30,Eunice Onyango,Laikipia,South C,27346,KE-143-11111-12
Stoney Tangawizi,Crown Beverages,Soft Drink,441,1414,514,900,2022-04-26,Yusuf Gacheru,Embu,Kilimani,55382,KE-056-41316-44
Kericho Gold Black Tea,Crown Beverages,Tea,232,8894,4678,4216,2020-07-28,Grace Barasa,Kisumu,Langata South,44286,KE-068-27465-92
Dormans Coffee,Crown Beverages,Coffee,167,1766,7329,-5563,2020-06-12,Nancy Bosire,Mombasa,Langata,35284,KE-027-56925-23
Burn Energy,Coca-Cola Kenya,Soft Drink,736,1314,4338,-3024,2021-02-23,Hannah Omar,Nakuru,Karen,74071,KE-135-33003-07
Acacia Ridge Wine,Coca-Cola Kenya,Alcoholic,912,3488,3957,-469,2023-05-28,Lilian Gacheru,Uasin Gishu,Jomvu,46915,KE-182-23578-10
Acacia Ridge Wine,Coca-Cola Kenya,Alcoholic,181,9413,1997,7416,2023-03-17,Xenia Muigai,Bungoma,Kasarani,44953,KE-005-04540-3
Kericho Gold Black Tea,Coca-Cola Kenya,Tea,827,6779,1217,5562,2022-04-10,Uchenna Auma,Kiambu,Jomvu,20919,KE-108-01609-49
Kenya Cane,Coca-Cola Kenya,Alcoholic,553,7718,3421,4297,2022-09-20,Moses Achieng,Siaya,Lanet,68965,KE-190-12873-19
Acacia Ridge Wine,Kericho Gold,Alcoholic,545,1967,6554,-4587,2022-01-10,Rashid Kariuki,Kilifi,Nakuru Town,21114,KE-152-33947-81
Kericho Gold Herbal Tea,Crown Beverages,Tea,135,1642,4619,-2977,2021-09-12,Rashid Muigai,Homa Bay,Kasarani,51761,KE-163-76918-4
Kericho Gold Black Tea,Crown Beverages,Tea,891,9282,6383,2899,2022-01-11,Omar Kimani,Kisumu,Njoro,76688,KE-068-44142-60
Kenya Cane,Kericho Gold,Alcoholic,184,4326,3221,1105,2023-05-10,Grace Maina,Garissa,Embakasi,24879,KE-058-52845-20
Kericho Gold Black Tea,Coca-Cola Kenya,Tea,329,7934,3945,3989,2021-03-08,Juma Anyango,Garissa,Zimmerman,13015,KE-078-12543-88
Dormans Coffee,Coca-Cola Kenya,Coffee,529,8446,3180,5266,2022-02-23,Xavier Onyango,Homa Bay,South C,26846,KE-186-93994-71
Kericho Gold Green Tea,Kericho Gold,Tea,723,8932,1084,7848,2021-02-17,Uchenna Otieno,Kilifi,Fedha,24031,KE-180-39767-3
Kericho Gold Black Tea,Crown Beverages,Tea,349,6439,816,5623,2021-04-22,Isaac Mburu,Laikipia,Nyali,41845,KE-127-25853-52
Kericho Gold Herbal Tea,Kericho Gold,Tea,254,8574,4024,4550,2021-08-25,Dorcas Njoroge,Kisii,Kondele,19753,KE-160-88057-78
Kericho Gold Black Tea,Coca-Cola Kenya,Tea,427,9753,5676,4077,2023-05-16,Violet Gitonga,Kericho,Nyali,33213,KE-036-05709-09
Acacia Ridge Wine,Crown Beverages,Alcoholic,683,1568,560,1008,2022-06-11,Xenia Achieng,Nairobi City,South B,58940,KE-085-88756-40
Burn Energy,Coca-Cola Kenya,Soft Drink,913,9507,1078,8429,2021-01-26,Rashid Kipchoge,Siaya,Ruaka,18514,KE-173-50251-51
Burn Energy,Coca-Cola Kenya,Soft Drink,866,7044,3415,3629,2020-07-30,Pendo Auma,Taita/Taveta,Kayole,30185,KE-037-11406-92
Kenya Cane,Coca-Cola Kenya,Alcoholic,156,7270,7615,-345,2022-03-17,Chege Nyambura,Nakuru,Jomvu,41056,KE-167-87273-85
Kenya Cane,Coca-Cola Kenya,Alcoholic,391,5381,7758,-2377,2022-01-11,Omar Wanjiru,Siaya,Parklands,21453,KE-050-72499-41
Dormans Coffee,Crown Beverages,Coffee,194,9293,6230,3063,2020-09-16,Tina Njoroge,Kericho,Githurai,19884,KE-163-35988-02
Kericho Gold Herbal Tea,Coca-Cola Kenya,Tea,760,8378,6257,2121,2022-06-16,Yasmin Nyakundi,Kisii,Marurui,11264,KE-198-70312-02
Stoney Tangawizi,Crown Beverages,Soft Drink,782,8136,1098,7038,2023-03-07,Xavier Farah,Bungoma,Embakasi,11762,KE-038-90492-71
Tusker Lager,Kericho Gold,Alcoholic,889,2546,6273,-3727,2021-05-28,Esther Gitonga,Machakos,Njoro,54713,KE-150-13215-28
Dormans Coffee,Crown Beverages,Coffee,172,7821,2591,5230,2020-08-22,William Simiyu,Nakuru,Ngong,19225,KE-134-59083-85
Dormans Coffee,Kericho Gold,Coffee,126,4420,614,3806,2022-02-04,Xavier Cheruiyot,Kakamega,Komarock,30479,KE-118-64814-71
Dormans Coffee,Kericho Gold,Coffee,517,1685,1400,285,2022-01-30,Irene Kiprotich,Kilifi,Ngong,70393,KE-026-50514-36
Kericho Gold Herbal Tea,Crown Beverages,Tea,183,5849,1349,4500,2022-11-28,Lilian Gitau,Kiambu,Utawala,53371,KE-070-20272-86
Dormans Coffee,Crown Beverages,Coffee,833,2665,5465,-2800,2020-07-31,Beatrice Abdille,Kilifi,Manyatta,23871,KE-081-65113-65
Acacia Ridge Wine,Kericho Gold,Alcoholic,939,7184,972,6212,2022-02-10,Brian Ndegwa,Nairobi City,Karen,25987,KE-167-44076-02
Minute Maid Citrus,Coca-Cola Kenya,Soft Drink,347,9742,7466,2276,2021-02-13,Imani Onyango,Taita/Taveta,Ruaka,17361,KE-058-59045-29
Stoney Tangawizi,Coca-Cola Kenya,Soft Drink,928,8893,851,8042,2021-09-09,Tina Korir,Taita/Taveta,Nakuru Town,28181,KE-117-78814-46
Tusker Lager,Kericho Gold,Alcoholic,636,8510,1504,7006,2020-01-04,Abdi Abdille,Kisii,Kahawa West,36151,KE-142-98222-44
Kericho Gold Black Tea,Crown Beverages,Tea,259,6997,5274,1723,2023-04-16,Edwin Macharia,Laikipia,Kisauni,20637,KE-018-23370-14
Dormans Coffee,Coca-Cola Kenya,Coffee,944,6308,6450,-142,2020-05-11,Uchenna Cheruiyot,Kiambu,Changamwe,34323,KE-139-66649-47
